Longitude,Latitude,CapitalName,COUNTRY,Population
-130.1030006,-25.06599905,Adamstown,Pitcairn Is.,49
21.01187737,52.24494605,Warsaw,Poland,1766212
-9.129995602,38.72999706,Lisbon,Portugal,506654
-66.06899956,18.39899707,San Juan,Puerto Rico,320967
51.53233541,25.28435693,Doha,Qatar,956457
55.44999936,-20.86669796,Saint-Denis,Reunion,146985
26.12296843,44.43048001,Bucharest,Romania,1829897
37.70000134,55.74999603,Moscow,Russia,11918057
30.0590014,-1.950003073,Kigali,Rwanda,859332
-171.7394936,-13.83702295,Apia,Samoa,37391
12.46666544,43.91666103,San Marino,San Marino,4127
6.728004416,0.336995989,Sao Tome,Sao Tome & Principe,0
46.77000332,24.65000097,Riyadh,Saudi Arabia,5188286
-17.4519987,14.68700101,Dakar,Senegal,150257
20.41255844,44.79967803,Belgrade,Serbia,1382547
55.44500441,-4.616999944,Victoria,Seychelles,26450
-13.2389997,8.486000979,Freetown,Sierra Leone,1055964
103.8317943,1.268855986,Singapore,Singapore,5703569
14.63960738,46.06829992,Ljubljana,Slovenia,283055
159.9517804,-9.433845006,Honiara,Solomon Is.,0
45.34414233,2.041173022,Mogadishu,Somalia,2693000
28.21799734,-25.73099993,Pretoria,South Africa,1753000
31.59711856,4.844060771,Juba,South Sudan,0
-3.690971698,40.44222007,Madrid,Spain,3244730
79.84800039,6.927002926,Colombo,Sri Lanka,0
-5.705000665,-15.92199907,Jamestown,St. Helena,0
-62.73199758,17.29299597,Basseterre,St. Kitts & Nevis,0
-60.98300062,14.00000404,Castries,St. Lucia,0
-56.19400166,46.78599593,Saint-Pierre,St. Pierre & Miquelon,0
-61.22931262,13.15536303,Kingstown,St. Vincent & the Grenadines,0
32.52999644,15.55000193,Khartoum,Sudan,6028000
15.6600003,78.20000103,Longyearbyen,Svalbard,0
17.99145043,59.33116799,Stockholm,Sweden,1595000
7.445997304,46.94799599,Bern,Switzerland,133883
36.29999734,33.49999805,Damascus,Syria,0
68.9000043,38.62999793,Dushanbe,Tajikistan,770027
39.2533473,-6.817356064,Dar es Salaam,Tanzania,4364541
100.5166714,13.75000192,Bangkok,Thailand,8305218
-77.33999659,25.06699795,Nassau,The Bahamas,266100
125.5809964,-8.57099699,Dili,Timor Leste,222323
1.2015454,6.102837046,Lome,Togo,839566
-175.2456506,-21.13090206,Nuku' alofa,Tonga,35184
-61.49006059,10.63973704,Port of Spain,Trinidad & Tobago,37074
10.16600438,36.81900004,Tunis,Tunisia,1056247
32.85299738,39.92900395,Ankara,Turkey,5229000
58.39013744,37.95041695,Ashgabat,Turkmenistan,0
-71.13332659,21.46666496,Grand Turk,Turks & Caicos Is.,4831
179.2218874,-8.536499935,Funafuti,Tuvalu,6152
32.57499641,0.323001036,Kampala,Uganda,1507114
30.50210739,50.44815907,Kyiv,Ukraine,2893215
54.37099841,24.476004,Abu Dhabi,United Arab Emirates,1539000
-0.178001677,51.48791094,London,United Kingdom,8135667
-76.95383369,38.89090807,Washington D.C.,United States,705749
-56.16999859,-34.92000005,Montevideo,Uruguay,1383135
69.34986931,41.24793601,Tashkent,Uzbekistan,2509969
168.3209973,-17.73999907,Port Vila,Vanuatu,20094
-66.89827756,10.49604295,Caracas,Venezuela,2082130
-64.93333469,18.350001,Charlotte Amalie,Virgin Is.,0
-176.1515636,-13.27329906,Mata-Utu,Wallis & Futuna,0
44.20950329,15.36144307,Sanaa,Yemen,3820000
28.1700003,-15.42999596,Lusaka,Zambia,1747152
31.0200034,-17.82999901,Harare,Zimbabwe,1485231
